Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'LSSL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.297630e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011224 | lrm: 1.00 | dt: 1707ms | tok/sec: 76,787 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.907373 | lrm: 1.00 | dt: 383ms | tok/sec: 341,809 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.561982 | lrm: 1.00 | dt: 384ms | tok/sec: 341,617 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.142022 | lrm: 1.00 | dt: 383ms | tok/sec: 341,824 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.791465 | lrm: 1.00 | dt: 383ms | tok/sec: 341,907 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.462401 | lrm: 1.00 | dt: 383ms | tok/sec: 341,903 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.242575 | lrm: 1.00 | dt: 383ms | tok/sec: 341,959 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.032943 | lrm: 1.00 | dt: 384ms | tok/sec: 341,769 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.857865 | lrm: 1.00 | dt: 383ms | tok/sec: 341,873 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.705504 | lrm: 1.00 | dt: 383ms | tok/sec: 341,803 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.568481 | lrm: 1.00 | dt: 383ms | tok/sec: 341,803 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.462847 | lrm: 1.00 | dt: 383ms | tok/sec: 341,916 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.379781 | lrm: 1.00 | dt: 384ms | tok/sec: 341,757 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.295989 | lrm: 1.00 | dt: 383ms | tok/sec: 341,841 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.204074 | lrm: 1.00 | dt: 383ms | tok/sec: 341,860 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 6.144909 | lrm: 1.00 | dt: 384ms | tok/sec: 341,697 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 6.093711 | lrm: 1.00 | dt: 384ms | tok/sec: 341,719 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 6.030038 | lrm: 1.00 | dt: 384ms | tok/sec: 341,612 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 5.985199 | lrm: 1.00 | dt: 383ms | tok/sec: 341,827 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 5.928498 | lrm: 1.00 | dt: 384ms | tok/sec: 341,752 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00020 (1.2%) | loss: 5.885322 | lrm: 1.00 | dt: 383ms | tok/sec: 341,949 | mfu: 4.5% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 5.861965 | lrm: 1.00 | dt: 384ms | tok/sec: 341,546 | mfu: 4.5% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 5.816832 | lrm: 1.00 | dt: 384ms | tok/sec: 341,744 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00023 (1.5%) | loss: 5.783689 | lrm: 1.00 | dt: 383ms | tok/sec: 341,785 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00024 (1.7%) | loss: 5.743043 | lrm: 1.00 | dt: 383ms | tok/sec: 341,799 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00025 (1.8%) | loss: 5.710237 | lrm: 1.00 | dt: 383ms | tok/sec: 341,839 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00026 (1.9%) | loss: 5.671531 | lrm: 1.00 | dt: 383ms | tok/sec: 341,780 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00027 (2.0%) | loss: 5.637729 | lrm: 1.00 | dt: 383ms | tok/sec: 341,958 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00028 (2.2%) | loss: 5.610267 | lrm: 1.00 | dt: 383ms | tok/sec: 341,863 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00029 (2.3%) | loss: 5.585646 | lrm: 1.00 | dt: 383ms | tok/sec: 341,848 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00030 (2.4%) | loss: 5.563767 | lrm: 1.00 | dt: 384ms | tok/sec: 341,756 | mfu: 4.5% | epoch: 1 | remaining: 292s    
