Vocab size: 8,192
CUDA capability: 12.0
torch.compile model: False
torch.compile optimizer: False
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'LSSL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.297630e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011224 | lrm: 0.00 | dt: 558ms | tok/sec: 234,794 | mfu: 3.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011128 | lrm: 0.00 | dt: 382ms | tok/sec: 343,264 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011040 | lrm: 0.00 | dt: 381ms | tok/sec: 343,644 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011058 | lrm: 0.00 | dt: 382ms | tok/sec: 343,543 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011039 | lrm: 0.00 | dt: 382ms | tok/sec: 343,376 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011071 | lrm: 0.00 | dt: 382ms | tok/sec: 343,552 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011144 | lrm: 0.00 | dt: 382ms | tok/sec: 343,492 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011111 | lrm: 0.00 | dt: 382ms | tok/sec: 343,512 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011094 | lrm: 0.00 | dt: 382ms | tok/sec: 343,506 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011097 | lrm: 0.00 | dt: 381ms | tok/sec: 343,576 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011125 | lrm: 0.00 | dt: 382ms | tok/sec: 343,512 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011082 | lrm: 0.00 | dt: 382ms | tok/sec: 343,477 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 9.011103 | lrm: 0.03 | dt: 382ms | tok/sec: 343,422 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 9.010147 | lrm: 0.05 | dt: 382ms | tok/sec: 343,449 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 9.007257 | lrm: 0.08 | dt: 382ms | tok/sec: 343,261 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 9.001780 | lrm: 0.10 | dt: 382ms | tok/sec: 343,507 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 8.992107 | lrm: 0.13 | dt: 382ms | tok/sec: 343,551 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 8.972115 | lrm: 0.15 | dt: 381ms | tok/sec: 343,574 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 8.937494 | lrm: 0.18 | dt: 382ms | tok/sec: 343,429 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 8.872223 | lrm: 0.20 | dt: 382ms | tok/sec: 342,877 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | loss: 8.777404 | lrm: 0.23 | dt: 382ms | tok/sec: 343,425 | mfu: 4.5% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 8.665801 | lrm: 0.25 | dt: 382ms | tok/sec: 343,457 | mfu: 4.5% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 8.534109 | lrm: 0.28 | dt: 382ms | tok/sec: 343,480 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00023 (1.5%) | loss: 8.388555 | lrm: 0.31 | dt: 382ms | tok/sec: 343,521 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00024 (1.7%) | loss: 8.226770 | lrm: 0.33 | dt: 382ms | tok/sec: 343,494 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00025 (1.8%) | loss: 8.071159 | lrm: 0.36 | dt: 382ms | tok/sec: 343,501 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00026 (1.9%) | loss: 7.904585 | lrm: 0.38 | dt: 382ms | tok/sec: 343,354 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00027 (2.0%) | loss: 7.749344 | lrm: 0.41 | dt: 382ms | tok/sec: 343,349 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00028 (2.2%) | loss: 7.600100 | lrm: 0.43 | dt: 382ms | tok/sec: 343,414 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00029 (2.3%) | loss: 7.465040 | lrm: 0.46 | dt: 382ms | tok/sec: 343,467 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00030 (2.4%) | loss: 7.334478 | lrm: 0.48 | dt: 382ms | tok/sec: 343,441 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00031 (2.5%) | loss: 7.212042 | lrm: 0.51 | dt: 382ms | tok/sec: 343,423 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00032 (2.7%) | loss: 7.091820 | lrm: 0.53 | dt: 382ms | tok/sec: 343,196 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00033 (2.8%) | loss: 6.978436 | lrm: 0.56 | dt: 382ms | tok/sec: 343,469 | mfu: 4.5% | epoch: 1 | remaining: 291s    
step 00034 (2.9%) | loss: 6.873109 | lrm: 0.59 | dt: 382ms | tok/sec: 343,375 | mfu: 4.5% | epoch: 1 | remaining: 291s    
step 00035 (3.1%) | loss: 6.784262 | lrm: 0.61 | dt: 382ms | tok/sec: 343,411 | mfu: 4.5% | epoch: 1 | remaining: 290s    
step 00036 (3.2%) | loss: 6.698717 | lrm: 0.64 | dt: 382ms | tok/sec: 343,505 | mfu: 4.5% | epoch: 1 | remaining: 290s    
