Vocab size: 8,192
CUDA capability: 12.0
torch.compile model: False
torch.compile optimizer: False
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.250444e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011224 | lrm: 0.00 | dt: 776ms | tok/sec: 168,946 | mfu: 2.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011128 | lrm: 0.00 | dt: 574ms | tok/sec: 228,344 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011040 | lrm: 0.00 | dt: 575ms | tok/sec: 227,952 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011058 | lrm: 0.00 | dt: 574ms | tok/sec: 228,297 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011039 | lrm: 0.00 | dt: 575ms | tok/sec: 228,003 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011071 | lrm: 0.00 | dt: 466ms | tok/sec: 281,125 | mfu: 3.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011144 | lrm: 0.00 | dt: 453ms | tok/sec: 289,182 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011111 | lrm: 0.00 | dt: 458ms | tok/sec: 286,128 | mfu: 3.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011094 | lrm: 0.00 | dt: 457ms | tok/sec: 286,819 | mfu: 3.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011097 | lrm: 0.00 | dt: 476ms | tok/sec: 275,421 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011125 | lrm: 0.00 | dt: 474ms | tok/sec: 276,262 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011082 | lrm: 0.00 | dt: 476ms | tok/sec: 275,534 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00012 (0.2%) | loss: 9.011103 | lrm: 0.03 | dt: 475ms | tok/sec: 275,881 | mfu: 3.5% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 9.009902 | lrm: 0.06 | dt: 475ms | tok/sec: 275,782 | mfu: 3.5% | epoch: 1 | remaining: 299s    
step 00014 (0.5%) | loss: 9.006275 | lrm: 0.10 | dt: 475ms | tok/sec: 275,829 | mfu: 3.5% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 8.999220 | lrm: 0.13 | dt: 476ms | tok/sec: 275,540 | mfu: 3.5% | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 8.985880 | lrm: 0.16 | dt: 476ms | tok/sec: 275,617 | mfu: 3.5% | epoch: 1 | remaining: 297s    
step 00017 (1.0%) | loss: 8.956762 | lrm: 0.19 | dt: 476ms | tok/sec: 275,341 | mfu: 3.5% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 8.904374 | lrm: 0.22 | dt: 475ms | tok/sec: 276,130 | mfu: 3.5% | epoch: 1 | remaining: 296s    
step 00019 (1.3%) | loss: 8.811472 | lrm: 0.25 | dt: 476ms | tok/sec: 275,513 | mfu: 3.5% | epoch: 1 | remaining: 296s    
step 00020 (1.4%) | loss: 8.694190 | lrm: 0.29 | dt: 475ms | tok/sec: 276,107 | mfu: 3.5% | epoch: 1 | remaining: 295s    
step 00021 (1.6%) | loss: 8.565814 | lrm: 0.32 | dt: 476ms | tok/sec: 275,481 | mfu: 3.5% | epoch: 1 | remaining: 295s    
step 00022 (1.7%) | loss: 8.418587 | lrm: 0.35 | dt: 475ms | tok/sec: 276,014 | mfu: 3.5% | epoch: 1 | remaining: 294s    
step 00023 (1.9%) | loss: 8.260028 | lrm: 0.38 | dt: 476ms | tok/sec: 275,488 | mfu: 3.5% | epoch: 1 | remaining: 294s    
step 00024 (2.1%) | loss: 8.083589 | lrm: 0.41 | dt: 475ms | tok/sec: 275,861 | mfu: 3.5% | epoch: 1 | remaining: 293s    
step 00025 (2.2%) | loss: 7.917925 | lrm: 0.44 | dt: 476ms | tok/sec: 275,388 | mfu: 3.5% | epoch: 1 | remaining: 293s    
step 00026 (2.4%) | loss: 7.747729 | lrm: 0.48 | dt: 475ms | tok/sec: 275,896 | mfu: 3.5% | epoch: 1 | remaining: 292s    
step 00027 (2.5%) | loss: 7.593484 | lrm: 0.51 | dt: 475ms | tok/sec: 275,995 | mfu: 3.5% | epoch: 1 | remaining: 292s    
step 00028 (2.7%) | loss: 7.447893 | lrm: 0.54 | dt: 475ms | tok/sec: 276,082 | mfu: 3.5% | epoch: 1 | remaining: 291s    
step 00029 (2.9%) | loss: 7.316907 | lrm: 0.57 | dt: 476ms | tok/sec: 275,465 | mfu: 3.5% | epoch: 1 | remaining: 291s    
step 00030 (3.0%) | loss: 7.190321 | lrm: 0.60 | dt: 475ms | tok/sec: 276,101 | mfu: 3.5% | epoch: 1 | remaining: 290s    
step 00031 (3.2%) | loss: 7.070426 | lrm: 0.63 | dt: 476ms | tok/sec: 275,546 | mfu: 3.5% | epoch: 1 | remaining: 290s    
step 00032 (3.3%) | loss: 6.953446 | lrm: 0.67 | dt: 475ms | tok/sec: 276,089 | mfu: 3.5% | epoch: 1 | remaining: 290s    
step 00033 (3.5%) | loss: 6.844440 | lrm: 0.70 | dt: 476ms | tok/sec: 275,458 | mfu: 3.5% | epoch: 1 | remaining: 289s    
step 00034 (3.6%) | loss: 6.741732 | lrm: 0.73 | dt: 474ms | tok/sec: 276,285 | mfu: 3.5% | epoch: 1 | remaining: 289s    
step 00035 (3.8%) | loss: 6.656079 | lrm: 0.76 | dt: 475ms | tok/sec: 275,702 | mfu: 3.5% | epoch: 1 | remaining: 288s    
step 00036 (4.0%) | loss: 6.573846 | lrm: 0.79 | dt: 475ms | tok/sec: 276,006 | mfu: 3.5% | epoch: 1 | remaining: 288s    
