Vocab size: 8,192
CUDA capability: 12.0
torch.compile model: False
torch.compile optimizer: False
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.250444e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011224 | lrm: 0.00 | dt: 660ms | tok/sec: 198,702 | mfu: 2.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011128 | lrm: 0.00 | dt: 476ms | tok/sec: 275,494 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011040 | lrm: 0.00 | dt: 475ms | tok/sec: 275,751 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011058 | lrm: 0.00 | dt: 476ms | tok/sec: 275,308 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011039 | lrm: 0.00 | dt: 476ms | tok/sec: 275,496 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011071 | lrm: 0.00 | dt: 475ms | tok/sec: 275,945 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011144 | lrm: 0.00 | dt: 477ms | tok/sec: 274,874 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011111 | lrm: 0.00 | dt: 475ms | tok/sec: 275,847 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011094 | lrm: 0.00 | dt: 477ms | tok/sec: 274,894 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011097 | lrm: 0.00 | dt: 476ms | tok/sec: 275,389 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011125 | lrm: 0.00 | dt: 476ms | tok/sec: 275,169 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011082 | lrm: 0.00 | dt: 476ms | tok/sec: 275,386 | mfu: 3.5% | epoch: 1 | remaining: 300s    
step 00012 (0.2%) | loss: 9.011103 | lrm: 0.03 | dt: 475ms | tok/sec: 275,660 | mfu: 3.5% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 9.009902 | lrm: 0.06 | dt: 477ms | tok/sec: 274,830 | mfu: 3.5% | epoch: 1 | remaining: 299s    
step 00014 (0.5%) | loss: 9.006272 | lrm: 0.10 | dt: 476ms | tok/sec: 275,417 | mfu: 3.5% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 8.999210 | lrm: 0.13 | dt: 477ms | tok/sec: 274,862 | mfu: 3.5% | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 8.985842 | lrm: 0.16 | dt: 477ms | tok/sec: 275,055 | mfu: 3.5% | epoch: 1 | remaining: 297s    
step 00017 (1.0%) | loss: 8.956704 | lrm: 0.19 | dt: 477ms | tok/sec: 274,624 | mfu: 3.5% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 8.904202 | lrm: 0.22 | dt: 476ms | tok/sec: 275,358 | mfu: 3.5% | epoch: 1 | remaining: 296s    
step 00019 (1.3%) | loss: 8.811127 | lrm: 0.25 | dt: 477ms | tok/sec: 274,715 | mfu: 3.5% | epoch: 1 | remaining: 296s    
step 00020 (1.4%) | loss: 8.693893 | lrm: 0.29 | dt: 476ms | tok/sec: 275,336 | mfu: 3.5% | epoch: 1 | remaining: 295s    
step 00021 (1.6%) | loss: 8.565134 | lrm: 0.32 | dt: 477ms | tok/sec: 274,981 | mfu: 3.5% | epoch: 1 | remaining: 295s    
step 00022 (1.7%) | loss: 8.415679 | lrm: 0.35 | dt: 477ms | tok/sec: 274,588 | mfu: 3.5% | epoch: 1 | remaining: 294s    
step 00023 (1.9%) | loss: 8.259771 | lrm: 0.38 | dt: 476ms | tok/sec: 275,521 | mfu: 3.5% | epoch: 1 | remaining: 294s    
step 00024 (2.1%) | loss: 8.083940 | lrm: 0.41 | dt: 477ms | tok/sec: 274,764 | mfu: 3.5% | epoch: 1 | remaining: 293s    
step 00025 (2.2%) | loss: 7.918542 | lrm: 0.44 | dt: 475ms | tok/sec: 275,659 | mfu: 3.5% | epoch: 1 | remaining: 293s    
step 00026 (2.4%) | loss: 7.748482 | lrm: 0.48 | dt: 477ms | tok/sec: 275,016 | mfu: 3.5% | epoch: 1 | remaining: 292s    
step 00027 (2.5%) | loss: 7.594833 | lrm: 0.51 | dt: 476ms | tok/sec: 275,362 | mfu: 3.5% | epoch: 1 | remaining: 292s    
step 00028 (2.7%) | loss: 7.449419 | lrm: 0.54 | dt: 477ms | tok/sec: 274,591 | mfu: 3.5% | epoch: 1 | remaining: 291s    
step 00029 (2.9%) | loss: 7.318419 | lrm: 0.57 | dt: 477ms | tok/sec: 274,699 | mfu: 3.5% | epoch: 1 | remaining: 291s    
step 00030 (3.0%) | loss: 7.191880 | lrm: 0.60 | dt: 476ms | tok/sec: 275,582 | mfu: 3.5% | epoch: 1 | remaining: 290s    
step 00031 (3.2%) | loss: 7.071971 | lrm: 0.64 | dt: 477ms | tok/sec: 275,062 | mfu: 3.5% | epoch: 1 | remaining: 290s    
step 00032 (3.3%) | loss: 6.955156 | lrm: 0.67 | dt: 476ms | tok/sec: 275,386 | mfu: 3.5% | epoch: 1 | remaining: 290s    
step 00033 (3.5%) | loss: 6.846329 | lrm: 0.70 | dt: 476ms | tok/sec: 275,148 | mfu: 3.5% | epoch: 1 | remaining: 289s    
step 00034 (3.7%) | loss: 6.743682 | lrm: 0.73 | dt: 476ms | tok/sec: 275,303 | mfu: 3.5% | epoch: 1 | remaining: 289s    
step 00035 (3.8%) | loss: 6.658254 | lrm: 0.76 | dt: 477ms | tok/sec: 274,610 | mfu: 3.5% | epoch: 1 | remaining: 288s    
step 00036 (4.0%) | loss: 6.576280 | lrm: 0.79 | dt: 476ms | tok/sec: 275,480 | mfu: 3.5% | epoch: 1 | remaining: 288s    
step 00037 (4.1%) | loss: 6.486050 | lrm: 0.83 | dt: 477ms | tok/sec: 274,837 | mfu: 3.5% | epoch: 1 | remaining: 287s    
